7755,37.50,30.00,179.6.8.120,ROLIN-01,2025-04-09 15:04:06
7756,37.25,30.00,179.6.8.120,ROLIN-01,2025-04-09 15:05:07
7757,35.00,29.00,179.6.8.120,ROLIN-01,2025-04-09 15:06:07
7758,34.00,27.75,179.6.8.120,ROLIN-01,2025-04-09 15:07:07
7759,32.75,27.25,179.6.8.120,ROLIN-01,2025-04-09 15:08:07
7760,31.25,27.25,179.6.8.120,ROLIN-01,2025-04-09 15:09:06
7761,29.50,26.50,179.6.8.120,ROLIN-01,2025-04-09 15:10:06
7762,27.25,24.50,179.6.8.120,ROLIN-01,2025-04-09 15:11:06
7763,27.25,25.00,179.6.8.120,ROLIN-01,2025-04-09 15:12:06
7764,27.25,25.00,179.6.8.120,ROLIN-01,2025-04-09 15:13:06
7765,27.00,24.75,179.6.8.120,ROLIN-01,2025-04-09 15:14:06
7766,28.00,26.00,179.6.8.120,ROLIN-01,2025-04-09 15:15:06
7767,28.00,25.75,179.6.8.120,ROLIN-01,2025-04-09 15:16:05
7768,28.50,25.75,179.6.8.120,ROLIN-01,2025-04-09 15:17:05
7769,29.25,26.50,179.6.8.120,ROLIN-01,2025-04-09 15:18:05
7770,28.50,26.25,179.6.8.120,ROLIN-01,2025-04-09 15:19:05
7771,27.50,25.25,179.6.8.120,ROLIN-01,2025-04-09 15:20:05
7772,25.25,23.75,179.6.8.120,ROLIN-01,2025-04-09 15:21:05
7773,25.00,23.50,179.6.8.120,ROLIN-01,2025-04-09 15:22:04
7774,24.75,22.50,179.6.8.120,ROLIN-01,2025-04-09 15:23:05
7775,23.50,21.75,179.6.8.120,ROLIN-01,2025-04-09 15:24:05
7776,22.75,21.50,179.6.8.120,ROLIN-01,2025-04-09 15:25:05
7777,22.00,21.25,179.6.8.120,ROLIN-01,2025-04-09 15:26:04
7778,23.00,22.25,179.6.8.120,ROLIN-01,2025-04-09 15:27:05
7779,22.50,22.25,179.6.8.120,ROLIN-01,2025-04-09 15:28:05
7780,21.50,22.25,179.6.8.120,ROLIN-01,2025-04-09 15:29:04
7781,21.00,20.75,179.6.8.120,ROLIN-01,2025-04-09 15:30:04
7782,20.75,21.50,179.6.8.120,ROLIN-01,2025-04-09 15:31:04
7783,20.25,20.50,179.6.8.120,ROLIN-01,2025-04-09 15:32:04
7784,20.00,20.50,179.6.8.120,ROLIN-01,2025-04-09 15:33:03
7785,19.00,20.00,179.6.8.120,ROLIN-01,2025-04-09 15:34:03
7786,19.25,20.50,179.6.8.120,ROLIN-01,2025-04-09 15:35:03
7787,19.00,20.50,179.6.8.120,ROLIN-01,2025-04-09 15:36:03
7788,19.00,20.50,179.6.8.120,ROLIN-01,2025-04-09 15:37:03
7789,18.50,20.25,179.6.8.120,ROLIN-01,2025-04-09 15:38:03
7790,16.00,19.50,179.6.8.120,ROLIN-01,2025-04-09 15:39:03
7791,14.75,20.00,179.6.8.120,ROLIN-01,2025-04-09 15:40:03
7792,14.50,19.25,179.6.8.120,ROLIN-01,2025-04-09 15:41:03
7793,14.00,20.00,179.6.8.120,ROLIN-01,2025-04-09 15:42:03
7794,13.50,19.50,179.6.8.120,ROLIN-01,2025-04-09 15:43:02
7795,13.00,18.50,179.6.8.120,ROLIN-01,2025-04-09 15:44:02
7796,12.25,18.50,179.6.8.120,ROLIN-01,2025-04-09 15:45:02
7797,12.50,18.50,179.6.8.120,ROLIN-01,2025-04-09 15:46:02
7798,11.50,17.00,179.6.8.120,ROLIN-01,2025-04-09 15:47:01
7799,11.25,18.75,179.6.8.120,ROLIN-01,2025-04-09 15:48:01
7800,10.75,18.50,179.6.8.120,ROLIN-01,2025-04-09 15:49:01
7801,11.00,17.25,179.6.8.120,ROLIN-01,2025-04-09 15:50:01
7802,10.25,17.50,179.6.8.120,ROLIN-01,2025-04-09 15:51:00
7803,10.75,18.75,179.6.8.120,ROLIN-01,2025-04-09 15:52:00
7804,10.00,18.25,179.6.8.120,ROLIN-01,2025-04-09 15:53:00
7805,9.75,19.00,179.6.8.120,ROLIN-01,2025-04-09 15:54:00
7806,9.50,18.50,179.6.8.120,ROLIN-01,2025-04-09 15:55:00
7807,9.25,19.25,179.6.8.120,ROLIN-01,2025-04-09 15:56:00
7808,9.50,18.25,179.6.8.120,ROLIN-01,2025-04-09 15:56:59
7809,8.75,18.50,179.6.8.120,ROLIN-01,2025-04-09 15:57:59
7810,9.25,19.50,179.6.8.120,ROLIN-01,2025-04-09 15:58:59
7811,9.50,18.50,179.6.8.120,ROLIN-01,2025-04-09 15:59:59
7812,9.25,18.00,179.6.8.120,ROLIN-01,2025-04-09 16:00:58
7813,9.00,19.25,179.6.8.120,ROLIN-01,2025-04-09 16:01:58
7814,10.00,18.00,179.6.8.120,ROLIN-01,2025-04-09 16:02:58
7815,9.75,18.50,179.6.8.120,ROLIN-01,2025-04-09 16:03:58
7816,9.25,19.00,179.6.8.120,ROLIN-01,2025-04-09 16:04:59
7817,9.25,18.50,179.6.8.120,ROLIN-01,2025-04-09 16:05:58
7818,8.75,18.50,179.6.8.120,ROLIN-01,2025-04-09 16:06:59
7819,8.50,17.75,179.6.8.120,ROLIN-01,2025-04-09 16:07:59
7820,8.50,17.25,179.6.8.120,ROLIN-01,2025-04-09 16:08:58
7821,8.25,17.00,179.6.8.120,ROLIN-01,2025-04-09 16:09:59
7822,8.50,16.50,179.6.8.120,ROLIN-01,2025-04-09 16:10:59
7823,8.00,16.25,179.6.8.120,ROLIN-01,2025-04-09 16:11:58
7824,8.50,15.75,179.6.8.120,ROLIN-01,2025-04-09 16:12:58
7825,8.50,15.75,179.6.8.120,ROLIN-01,2025-04-09 16:13:58
7826,8.00,15.50,179.6.8.120,ROLIN-01,2025-04-09 16:14:58
7827,8.25,14.75,179.6.8.120,ROLIN-01,2025-04-09 16:15:58
